"pokemon1","pokemon2","compatibility","viability_ceiling_pokemon2"
"Golurk","Meowscarada",0.010790396481752396,74
"Golurk","Kingambit",0.023469112813472748,82
"Golurk","Calyrex-Ice",0.03183167055249214,86
"Golurk","Indeedee-Female",0.05206366255879402,83
"Golurk","Archaludon",0.028864311054348946,83
"Golurk","Sinistcha",0.02265983261168003,83
"Golurk","Chi-Yu",0.022120313718914986,86
"Golurk","Bronzong",0.207175612449646,74
"Golurk","Skeledirge",0.016455354169011116,76
"Golurk","Clefairy",0.04370110481977463,84
"Golurk","Ho-Oh",0.014567035250365734,77
"Golurk","Meowstic-Female",0.021041274070739746,74
"Golurk","Zamazenta-Crowned",0.029943350702524185,85
"Golurk","Hatterene",0.022390073165297508,79
"Golurk","Porygon2",0.02697599120438099,77
"Golurk","Iron Hands",0.011060156859457493,85
"Golurk","Flutter Mane",0.03048286959528923,83
"Golurk","Ogerpon-Hearthflame-Mask",0.012948475778102875,85
"Golurk","Garganacl",0.01807391457259655,77
"Golurk","Articuno",0.012948475778102875,70
"Golurk","Ninetales-Alola",0.010520637035369873,83
"Golurk","Tinkaton",0.014836795628070831,80
"Golurk","Gothitelle",0.18532505631446838,80
"Golurk","Terapagos",0.022390073165297508,83
"Golurk","Landorus-Therian",0.01807391457259655,83
"Golurk","Miraidon",0.09198813140392303,85
"Golurk","Weezing-Galar",0.014567035250365734,82
"Golurk","Articuno-Galar",0.013487995602190495,73
"Golurk","Calyrex-Shadow",0.019422713667154312,85
"Golurk","Kyogre",0.1640140265226364,83
"Golurk","Kyurem-White",0.014836795628070831,83
"Golurk","Annihilape",0.015376315452158451,83
"Golurk","Amoonguss",0.16077691316604614,85
"Golurk","Cresselia",0.05988670140504837,83
"Golurk","Araquanid",0.01915295422077179,77
"Golurk","Rillaboom",0.12301052361726761,85
"Golurk","Lapras",0.22444024682044983,71
"Golurk","Farigiraf",0.1435122787952423,85
"Golurk","Ogerpon-Cornerstone-Mask",0.014027515426278114,84
"Golurk","Dondozo",0.019422713667154312,85
"Golurk","Slowking-Galar",0.01591583527624607,83
"Golurk","Giratina-Altered",0.014567035250365734,71
"Golurk","Tornadus-Incarnate",0.03479902818799019,83
"Golurk","Whimsicott",0.09144861251115799,86
"Golurk","Volcarona",0.017264634370803833,81
"Golurk","Torkoal",0.09468573331832886,81
"Golurk","Sylveon",0.0337199904024601,72
"Golurk","Lugia",0.015376315452158451,77
"Golurk","Goodra-Hisui",0.013757755979895592,76
"Golurk","Ting-Lu",0.035338547080755234,85
"Iron Moth","Torkoal",0.03594094514846802,81
"Iron Moth","Annihilape",0.017836863175034523,83
"Iron Moth","Clodsire",0.012425679713487625,83
"Iron Moth","Calyrex-Shadow",0.05631638690829277,85
"Iron Moth","Gastrodon",0.027323134243488312,81
"Iron Moth","Farigiraf",0.17028525471687317,85
"Iron Moth","Primarina",0.012692898511886597,77
"Iron Moth","Umbreon",0.01275970321148634,79
"Iron Moth","Calyrex-Ice",0.018504910171031952,86
"Iron Moth","Zamazenta-Crowned",0.049235086888074875,85
"Iron Moth","Archaludon",0.014563431032001972,83
"Iron Moth","Slither Wing",0.011958046816289425,69
"Iron Moth","Miraidon",0.41980090737342834,85
